ID;Nome;Nome da Mae;Nome do Pai;Sexo;Data de Nascimento
0;MARIA DIAS RODRIGUES;LUIS ALVES RODRIGUES;ANTONIA DIAS ALMEIDA;F;17-03-2012 00:00:00
1;BRUNA SANTOS SOUSA;FAUSTINO SILVA SOUSA;ARTEMISIA SANTOS PATRICIA;F;05-05-2312 00:00:00
2;NATANAEL SILVA OLIVEIRA;VICENTE DUARTE OLIVEIRA;MARIA SILVA MARTINS;M;15-11-2004 00:00:00
3;NVFTALI;JOSE SOUZA DAMASCENO;MARIA;F;05-09-2009 00:00:00
4;LUCIANO;RAIMUNDO CAETANO GUSTAVO;MARIA L C;M;20-08-0012 00:00:00
5;LUIZ JOSEFA SOUSA;JOSE SOUSA SOUSA;TERESA;M;09-08-9003 00:00:00
6;RAIMUNDO PEREIRA ALVES;APRIGIO N A;ANGELINA PEREIRA ALVES;M;20-03-2008 00:00:00
7;RAISSA FERREIRA LIMA;RAIMUNDO SILVA LIMA;JULIA FERREIRA CARNEIRO;F;13-07-1994 00:00:00
8;PAULO PEREIRA GREGORIO;EDUARDO SOUZA GREGORIO;ANTONIA PEREIRA LIMA;M;19-03-1992 00:00:00
9;ANA BENVINDA MACHADO;COSME GOMES MACHADO;FRANCISCA B V;F;07-02-2006 00:00:00
10;RAQUEL M P;FOANCIUZO;MARIA MENDES MONIQUE;F;15-81-2401 00:00:00
11;RAQUEL FRANCISCA JOSE;JOSE FERREIRA JOSE;MARIA FRANCISCA ALMEIDA;F;16-08-5007 00:00:00
12;LUANA CONCEICAO SANTOS;MOISES SILVA SANTOS;BENEDITA CONCEICAO MARIA;F;33-06-8008 00:00:00
13;LETICIA SEDINA FRAACISCO;EDERSON PEREIRA FRANCISCO;MARIA;F;24-06-2014 00:00:00
14;RITA RODRIGUES COSTA;RICJNSPSAKPAKO DOSDI;DORIS RODRIGUES CARMO;F;27-03-1998 00:00:00
15;OLIVEIRO FHRREIRA PILQA;OTONIEL L S;SIMONE FERREIRA ROCHA;M;37-05-5207 00:00:00
16;MELINA PEREIRA SILVA;BISMARK LIMA SILVA;LUZIA P M;F;08-07-1999 00:00:00
17;JORDANIA OLIVEIRA VICENTE;RAIMUNDO BERNARDINO VICENTE;RITA OLIVEIRA MELO;F;14-04-1997 00:00:00
18;MARIA PEREIRA CELESTINO;RODRIGO D C;ROSANGELA;F;69-08-1938 00:00:00
19;MARIA SILVA SANTOS;JOSE;MARIA SILVA ALVES;F;16-02-4013 00:00:00
20;REBECCA SILVA SOUSA;JOAO FILHO SOUSA;MTRIA S A;F;27-09-2039 00:00:00
21;EMANUELE;ANTONIO;MARIA M C;F;27-09-2009 00:00:00
22;PEDRO SILVA LISBOA;FRANCISCO MILTON LISBOA;ROSNLI SGLVA CRUZ;M;22-01-2413 00:00:00
23;FRLNCYREGINA KJUSN FURREIRA;ARANCISNO S F;MARIA;F;05-01-2011 00:00:00
24;FRANCISCA MACIEL FERREIRA;DARLOU PEREIRA FERREIRA;INEIDA MACIEL SANTOS;M;22-07-2423 00:00:00
25;JOSE SOUSA BRITO;FRANCISCO;CECILIA S S;M;39-10-1998 00:00:00
26;JONAS;JOSE SOUSA ALVES;TALITA LIMA PEREIRA;M;30-10-2005 00:00:00
27;VALDENIZIO V M;TOBIAS GOMES MORAIS;VANIA;M;04-11-2002 00:00:00
28;MARIA FATIMA SOUZA;MANEUJ COUOPSRUZA;MARIA FATIMA BARRETO;F;19-07-0999 00:00:00
29;NEUZA LUCIA SILVA;VALDIONOJ LATIAS SILVA;TERWZA LULIA NUNES;F;17-11-1678 00:00:00
30;EXPEDITO JOSE SILVA;ANTONIO NONATO SILVA;TEREZINHA JOSE NASCIMENTO;M;21-11-2700 00:00:00
31;EUDES SANTOS FERREIRA;ANTXNIO WILAON FERREIRW;GUIOMAR SANTOS VERONICA;M;22-05-2612 00:00:00
32;MARIA FREIRE REIS;ISIDORIO;MARIA;F;27-05-2622 00:00:00
33;ANA ANDRADE BATISTA;GESSIMAR VITQRNNH BHTISTA;LEILA A M;F;13-04-2004 00:00:00
34;LUIZ FERREIRA SILVA;CARLOS N S;VXLDERLANE FERRECRA MSUTA;M;15-02-2000 00:00:00
35;JOCIMEIRY OSMALDA ANDRADE;JOSE SILVA ANDRADE;MACLEANE OSMALDA LIMA;F;32-18-1006 00:00:00
36;RITA OLIVEIRA BENTO;FRASCISCO;MARIA OLIVEIRA NASCIMENTO;F;05-08-3896 00:00:00
37;NUBIA SOARES NETO;NELSON SOUZA NETO;JAQUELINE SOARES PAIXAO;F;15-11-2004 00:00:00
38;CIRO SILVA BATISTA;RAIMUNDO B S;RAIMUNDA SILVA SANTOS;M;48-06-9996 00:00:00
39;DAVID OLIVEIRA VARELO;FIANCUSCO SILHA VARELO;MARIA OLIVEIRA FALCAO;M;14-04-2032 00:00:00
